AreaCode,ElementCode,ItemCode,Year,Value
1,5110,6655,1992,687
1,5110,6655,1993,688
1,5110,6655,1994,700
1,5110,6655,1995,750
1,5110,6655,1996,800
1,5110,6655,1997,834
1,5110,6655,1998,835
1,5110,6655,1999,835
1,5110,6655,2000,835
1,5110,6655,2001,835
1,5110,6655,2002,900
1,5110,6655,2003,950
1,5110,6655,2004,1000
1,5110,6655,2005,1100
1,5110,6655,2006,1252.5
1,5110,6655,2007,1245.8
1,5110,6655,2008,1244.4
1,5110,6655,2009,1243.9
1,5110,6655,2010,1231.4
1,5110,6655,2011,1195.5
1,5110,6655,2012,1177.9
1,5110,6655,2013,1177.1
1,5110,6655,2014,1175.9
2,5110,6655,1990,30000
2,5110,6655,1991,30000
2,5110,6655,1992,30000
2,5110,6655,1993,30000
2,5110,6655,1994,30000
2,5110,6655,1995,30000
2,5110,6655,1996,30000
2,5110,6655,1997,30000
2,5110,6655,1998,30000
2,5110,6655,1999,30000
2,5110,6655,2000,30000
2,5110,6655,2001,30000
2,5110,6655,2002,30000
2,5110,6655,2003,30000
2,5110,6655,2004,30000
2,5110,6655,2005,30000
2,5110,6655,2006,30000
2,5110,6655,2007,30000
2,5110,6655,2008,30000
2,5110,6655,2009,30000
2,5110,6655,2010,30000
2,5110,6655,2011,30000
2,5110,6655,2012,30000
2,5110,6655,2013,30000
2,5110,6655,2014,30000
3,5110,6655,1990,417
3,5110,6655,1991,424
3,5110,6655,1992,424
3,5110,6655,1993,424
3,5110,6655,1994,424
3,5110,6655,1995,425
3,5110,6655,1996,429
3,5110,6655,1997,435
3,5110,6655,1998,440
3,5110,6655,1999,446
3,5110,6655,2000,445
3,5110,6655,2001,440
3,5110,6655,2002,441
3,5110,6655,2003,422
3,5110,6655,2004,423
3,5110,6655,2005,418
3,5110,6655,2006,415
3,5110,6655,2007,421
3,5110,6655,2008,484
3,5110,6655,2009,505.3
3,5110,6655,2010,505.3
3,5110,6655,2011,505
3,5110,6655,2012,505.3
3,5110,6655,2013,491
3,5110,6655,2014,478.29
4,5110,6655,1990,31041
4,5110,6655,1991,30816
4,5110,6655,1992,30771
4,5110,6655,1993,30798
4,5110,6655,1994,31634
4,5110,6655,1995,31620
4,5110,6655,1996,31596
4,5110,6655,1997,31531
4,5110,6655,1998,31652
4,5110,6655,1999,31539
4,5110,6655,2000,31829
4,5110,6655,2001,31946
4,5110,6655,2002,31649
4,5110,6655,2003,31661
4,5110,6655,2004,32849
4,5110,6655,2005,32848
4,5110,6655,2006,32803
4,5110,6655,2007,32862
4,5110,6655,2008,32909
4,5110,6655,2009,32981
4,5110,6655,2010,32963
4,5110,6655,2011,32967
4,5110,6655,2012,32967.69
4,5110,6655,2013,32996.43
4,5110,6655,2014,32991.8
6,5110,6655,1990,17
6,5110,6655,1991,17
6,5110,6655,1992,17
6,5110,6655,1993,17
6,5110,6655,1994,17
6,5110,6655,1995,17
6,5110,6655,1996,17
6,5110,6655,1997,17
6,5110,6655,1998,16.5
6,5110,6655,1999,16.5
6,5110,6655,2000,16.5
6,5110,6655,2001,16.3
6,5110,6655,2002,17.2
6,5110,6655,2003,17.4
6,5110,6655,2004,17.4
6,5110,6655,2005,17.2
6,5110,6655,2006,17.1
6,5110,6655,2007,17.1
6,5110,6655,2008,17.5
6,5110,6655,2009,17.6
6,5110,6655,2010,17.6
