Data Source,World Development Indicators,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Last Updated Date,2017-11-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country Name,Country Code,Indicator Name,Indicator Code,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Aruba,ABW,Agriculture value added per worker (constant 2010 US$),EA.PRD.AGRI.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1232.1539416512,,,,,,
Afghanistan,AFG,Agriculture value added per worker (constant 2010 US$),EA.PRD.AGRI.KD,,,,,,,,,,,,,,,,,,,,,,,735.2910669549,727.3442510043,545.2407676866,621.3043649949,573.5537489307,640.7828350007,533.1760997272,753.1337757066,687.403102097,617.6519535201,708.8983281233,687.8849525234,667.476027154,612.6756970432,632.9522939554
Angola,AGO,Agriculture value added per worker (constant 2010 US$),EA.PRD.AGRI.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Albania,ALB,Agriculture value added per worker (constant 2010 US$),EA.PRD.AGRI.KD,1183.2631743572,1185.8967896197,1175.89600552,1262.5251674793,1191.8486909827,1236.850720004,1256.1075489904,1173.1264845493,1061.5368271943,1186.247098374,1198.6692890492,1237.2870009504,1502.8654252111,1692.2176916638,1872.4451610217,2170.0680971743,2282.4760041509,1941.9616102938,2095.7341624939,2233.5180890382,2405.9511459531,2474.7784437243,2513.3481375353,2570.7929193386,2719.8067122074,2734.3337706569,2828.7761394585,2905.9910326257,3128.5642668826,3213.8972417319,3487.9259161582,3684.4090641679,3915.2416334633,3980.8597771288,4101.6304562131,4176.361322446,4253.6427931438
Andorra,AND,Agriculture value added per worker (constant 2010 US$),EA.PRD.AGRI.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7761.5894039735,,,,,,
Arab World,ARB,Agriculture value added per worker (constant 2010 US$),EA.PRD.AGRI.KD,1832.6211386788,1814.3897778777,1936.4573095836,1857.723669622,1950.939628197,2074.0151793861,2243.4107172586,2303.9981760154,2393.3269989483,2649.9761372896,2533.6933412104,2637.1189546495,2686.2816442524,2648.3975696719,2766.4536460195,2709.3817648012,3053.772194401,3010.8458024252,3192.4309566847,3195.6871684847,3127.03550528,3407.9935103868,3478.7508316884,3509.2384015766,3600.8606716205,3668.008333968,3853.7068202476,3697.8806586352,3737.7626702063,3947.4312499167,4075.1020524358,4307.8594200943,4451.7478975574,4707.5037870141,4738.1547732128,4789.457951836,4910.699770897
United Arab Emirates,ARE,Agriculture value added per worker (constant 2010 US$),EA.PRD.AGRI.KD,,,,,,,,,,,,,,,,,,,,,,37646.0386305625,38854.6673790083,37223.0494324663,34920.2736244456,31485.3893155688,26126.8943901382,22911.9355571121,18587.1768161147,17347.6259173754,14997.6128143272,15073.1917382632,14906.7419974107,15791.0887275883,16423.5784075927,17385.343403278,18707.8103280185
Argentina,ARG,Agriculture value added per worker (constant 2010 US$),EA.PRD.AGRI.KD,11069.9976333433,11196.2515041763,11603.235665307,11559.2903280631,11493.4618346754,11209.3978337642,11132.9218314734,10745.8428853987,11510.6651563509,10506.1213541072,11287.133232711,11838.8279632928,11839.4449334074,12520.0709110075,13418.671452374,14134.6765942609,13972.0498726988,14036.4785067468,15272.3935637765,15660.1560712174,15406.4590308268,15589.8720298193,15265.1655844407,16347.9125738633,16154.1737634261,19242.5270549309,19194.6422982288,20964.6118639565,20621.8104085916,15325.4976102548,21504.4961644838,21117.5355591817,18504.6644487415,20763.0048338505,21563.9146392366,23360.8493985673,22302.8173206707
Armenia,ARM,Agriculture value added per worker (constant 2010 US$),EA.PRD.AGRI.KD,,,,,,,,,,,,,3623.448335513,3696.4870159584,4059.2411707971,4427.543168408,4723.2197178275,4702.6411007079,5452.3747913562,5684.0091038105,5750.7145439828,6600.4201148489,6978.9494389721,7361.1512219547,8587.4467482875,9736.2528634835,9971.4782628519,11069.4996547507,11550.6249676468,12479.4112868504,10636.2810843215,12376.2299617807,13741.5098768458,15102.7045823753,16374.8594077135,19093.8247827261,18401.4533222708
American Samoa,ASM,Agriculture value added per worker (constant 2010 US$),EA.PRD.AGRI.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
