Country Name,Country Code,Series Name,Series Code,y1980,y1981,y1982,y1983,y1984,y1985,y1986,y1987,y1988,y1989,y1990,y1991,y1992,y1993,y1994,y1995,y1996,y1997,y1998,y1999,y2000,y2001,y2002,y2003,y2004,y2005,y2006,y2007,y2008,y2009,y2010,y2011,y2012,y2013
Afghanistan,AFG,Agriculture value added per worker (constant 2005 US$),EA.PRD.AGRI.KD,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,428.4081131,423.7780007,317.6776911,361.9951914,334.1738942,373.3440775,310.6483639,438.8039433,400.5067912,359.86716,413.0307151,403.8564638
Albania,ALB,Agriculture value added per worker (constant 2005 US$),EA.PRD.AGRI.KD,1218.318321,1221.029958,1210.732894,1299.928515,1227.15819,1273.493442,1293.320769,1207.881323,1092.985731,1221.390647,1234.180854,1273.942647,1547.389051,1742.351036,1927.917891,2234.358153,2350.096238,2178.243033,2321.074522,2356.417277,2486.286212,2544.710313,2573.004592,2515.17254,2593.290841,2607.298727,2696.685896,2769.496415,2985.144318,3069.442093,3301.764866,3462.02787,3630.314523,NA
Algeria,DZA,Agriculture value added per worker (constant 2005 US$),EA.PRD.AGRI.KD,1801.828178,1781.432233,1620.665956,1574.376254,1712.194185,1954.01908,1882.277019,2151.227268,1960.073347,2215.224646,2036.475709,2246.429643,2256.996818,2083.218428,1821.749104,2020.799128,2416.89823,2025.723853,2193.483927,2190.534971,2025.116589,2232.350613,2158.421794,2533.159766,2624.788851,2646.658883,2820.596225,2840.684774,2703.054051,3245.402966,3385.127019,3718.569463,NA,NA
American Samoa,ASM,Agriculture value added per worker (constant 2005 US$),EA.PRD.AGRI.KD,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Andorra,ADO,Agriculture value added per worker (constant 2005 US$),EA.PRD.AGRI.KD,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Angola,AGO,Agriculture value added per worker (constant 2005 US$),EA.PRD.AGRI.KD,NA,NA,NA,NA,NA,532.6497826,512.3108117,515.8482864,490.3297741,497.8716134,483.3425703,463.1179844,327.2647691,170.3467607,181.3733248,216.0982629,241.5189649,259.7045043,266.2259449,262.5293156,279.2035894,319.7290314,346.9270512,376.7468361,416.243713,472.0439779,503.0483893,617.4474625,610.0518668,757.6503748,780.4265718,831.0792144,866.7110815,904.4519132
Antigua and Barbuda,ATG,Agriculture value added per worker (constant 2005 US$),EA.PRD.AGRI.KD,2081.946213,1740.70089,1501.879126,1469.403363,1336.002922,1295.533125,1581.105712,1805.509665,1913.429123,2011.070537,2131.552049,2204.640359,2299.426761,2388.50314,2352.529987,2168.667206,2125.271022,2227.480456,2318.269841,2398.210181,1588.686338,1352.375384,1614.359397,1744.457201,1680.162576,2246.033247,2435.182588,2629.886648,2373.153599,1774.625117,2248.487023,2401.97974,2096.877015,NA
Argentina,ARG,Agriculture value added per worker (constant 2005 US$),EA.PRD.AGRI.KD,7036.960111,7117.216986,7375.928089,7347.992974,7306.14721,7125.57382,7076.959658,6830.901893,7317.083,6678.516041,7174.988561,7525.689064,7526.08126,7958.7406,8529.961688,8985.110812,8881.732491,8922.688392,9708.333089,9954.825391,9793.555623,9910.147333,9703.738414,10392.01743,10261.54445,11496.54209,12064.8495,NA,NA,NA,NA,NA,NA,NA
Armenia,ARM,Agriculture value added per worker (constant 2005 US$),EA.PRD.AGRI.KD,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2190.32489,2234.475772,2453.755691,2676.389204,2855.121628,2842.682136,3295.885883,3435.905652,3476.228177,3989.863557,4218.679349,4449.715092,5190.993942,5885.431503,6027.622036,6691.360928,6982.194589,7543.633199,6420.493151,7470.797272,8294.935922,9082.717837
Aruba,ABW,Agriculture value added per worker (constant 2005 US$),EA.PRD.AGRI.KD,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1001.241465,NA,NA,NA,NA,NA,NA,NA,NA
