"Land Area","Ocean Area","Environment","Species","Scientific name","1990","S_1990","1991","S_1991","1992","S_1992","1993","S_1993","1994","S_1994","1995","S_1995","1996","S_1996","1997","S_1997","1998","S_1998","1999","S_1999","2000","S_2000","2001","S_2001","2002","S_2002","2003","S_2003","2004","S_2004","2005","S_2005","2006","S_2006","2007","S_2007","2008","S_2008","2009","S_2009","2010","S_2010","2011","S_2011","2012","S_2012","2013","S_2013","2014","S_2014","2015","S_2015"
"Afghanistan","Inland waters","Freshwater","Freshwater fishes","Freshwater fishes","300","F","300","F","300","F","300","F","300","F","300","F","300","F","300","F","300","F","300","F","300","F","400","F","400","F","400","F","400","F","400","F","400","F","900","F","900","F","900","F","900","F","900","F","900","F","900","F","950","F","1000","F"
"Afghanistan","Inland waters","Freshwater","Diadromous fishes","Diadromous fishes","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","50","F","50","F","50","F","50","F","50","F","50","F","150","F","150","F","150","F","150","F","150","F","150","F","150","F","150","F","150","F"
"Albania","Inland waters","Freshwater","Diadromous fishes","Diadromous fishes","203","","37","","20","","20","F","20","F","0",".","0",".","2","","8","","100","","100","","15","","350","","350","","350","","350","","217","","221","","254","","300","","230","","155","","202","","250","F","100","","390",""
"Albania","Inland waters","Freshwater","Freshwater fishes","Freshwater fishes","313","F","159","F","95","F","94","F","80","F","40","F","73","F","5","","8","","5","","5","","7","","10","","13","","19","","13","","23","","22","","304","","254","","254","","22","","410","","370","F","230","","177",""
"Albania","Inland waters","Freshwater","Marine fishes","Marine fishes","2","F","1","F","1","F","1","F","2","F","0","0","0","0","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-"
"Albania","Marine areas","Marine","Crustaceans","Crustaceans","0","-","0","-","0","-","0","-","0","-","0","-","0","-","10","","8","","5","","2","","14","","0",".","0",".","0",".","0",".","0",".","3","","7","","8","","8","","0",".","0",".","0",".","0",".","0","."
"Albania","Marine areas","Marine","Marine fishes","Marine fishes","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","100","","200","","250","","400","","250","","457","","486","","485","","505","","602","","545","","662","","670","F","594.2","","733",""
"Albania","Marine areas","Marine","Molluscs","Molluscs","4443","","662","","281","","274","F","293","F","300","","250","","80","","100","","200","","200","","150","","300","","860","","800","","860","","1360","","1360","","950","","1250","","1410","","1300","","760","","800","F","1500","","295",""
"Algeria","Inland waters","Brackishwater","Diadromous fishes","Diadromous fishes","46","","22","","1","","0","0","22","","20","F","17","F","17","F","22","","15","","23","F","32","F","33","F","16","F","16","F","15","F","7","","15","","11.73","","14.2","","4.219","","0","-","0.412","","0","-","0","-","0","-"
"Algeria","Inland waters","Brackishwater","Freshwater fishes","Freshwater fishes","13","","2","","0","0","15","F","2","F","3","F","3","F","3","F","0","-","0","-","0","-","0","-","0","-","1","F","1","F","1","F","40","","23","","662.982","","523.796","","398.408","","172.186","","85.884","","123.562","","113.735","","95.63",""
"Algeria","Inland waters","Brackishwater","Marine fishes","Marine fishes","19","","18","","8","F","55","F","50","F","30","F","26","F","26","F","12","","18","","25","F","32","F","34","F","1","F","1","F","1","F","9","","6","","51.71","","24.948","","4.391","","5.529","","6.066","","0.35","","1.676","","1.1",""
