figisSpecies,aquaSpecies
Bighead carp,Carp
Black carp,Carp
Common carp,Carp
Crucian carp,Carp
Cyprinids nei,Carp
Grass carp(=White amur),Carp
Hoven's carp,Carp
Mrigal carp,Carp
Mud carp,Carp
Nilem carp,Carp
Silver carp,Carp
Small scale mud carp,Carp
"Silver, bighead carps nei",Carps
"Africa-bighead catfish, hybrid",Catfish
African catfish,Catfish
Amazon sailfin catfish,Catfish
Amur catfish,Catfish
Asian redtail catfish,Catfish
Bagrid catfish,Catfish
Catfishes nei,Catfish
Channel catfish,Catfish
Chinese longsnout catfish,Catfish
Duckbill catfish,Catfish
Hong Kong catfish,Catfish
Naked catfishes,Catfish
North African catfish,Catfish
Pangas catfish,Catfish
Pangas catfishes nei,Catfish
Philippine catfish,Catfish
South American catfish,Catfish
Stinging catfish,Catfish
Striped catfish,Catfish
Suckermouth catfish,Catfish
Torpedo-shaped catfishes nei,Catfish
Upsidedown catfishes,Catfish
Wels(=Som) catfish,Catfish
Yellow catfish,Catfish
Catla,Catla
Freshwater crustaceans,Freshwater Crustacean
Freshwater crustaceans nei,Freshwater Crustacean
Giant river prawn,Freshwater Crustacean
Monkey river prawn,Freshwater Crustacean
Monsoon river prawn,Freshwater Crustacean
Oriental river prawn,Freshwater Crustacean
River prawns nei,Freshwater Crustacean
Akiami paste shrimp,Marine Crustacean
Atlantic ditch shrimp,Marine Crustacean
Baltic prawn,Marine Crustacean
Banana prawn,Marine Crustacean
Blue crab,Marine Crustacean
Blue shrimp,Marine Crustacean
Blue swimming crab,Marine Crustacean
Brine shrimp,Marine Crustacean
Brown tiger prawn,Marine Crustacean
Callinectes swimcrabs nei,Marine Crustacean
Caramote prawn,Marine Crustacean
Chinese mitten crab,Marine Crustacean
Common prawn,Marine Crustacean
"Crabs, sea-spiders",Marine Crustacean
Eastern school shrimp,Marine Crustacean
Flathead lobster,Marine Crustacean
Fleshy prawn,Marine Crustacean
"Freshwater prawns, shrimps nei",Marine Crustacean
Giant tiger prawn,Marine Crustacean
Greasyback shrimp,Marine Crustacean
Green crab,Marine Crustacean
Green tiger prawn,Marine Crustacean
Indian white prawn,Marine Crustacean
Indo-Pacific swamp crab,Marine Crustacean
Japanese spiny lobster,Marine Crustacean
Kuruma prawn,Marine Crustacean
"Lobsters, spiny-rock lobsters",Marine Crustacean
Marine crabs nei,Marine Crustacean
Metapenaeus shrimps nei,Marine Crustacean
Mud spiny lobster,Marine Crustacean
Natantian decapods nei,Marine Crustacean
Orange mud crab,Marine Crustacean
Palaemonid shrimps nei,Marine Crustacean
Palinurid spiny lobsters nei,Marine Crustacean
Penaeus shrimps nei,Marine Crustacean
Portunus swimcrabs nei,Marine Crustacean
Redtail prawn,Marine Crustacean
Southern white shrimp,Marine Crustacean
