"geographicAreaM49","timePointYears","aquaEnergyDemand","aquaProteinDemand"
4,"1990",974403.439111682,19.987762853573
4,"1991",1273891.23902197,26.1311023389122
4,"1992",1557086.83324008,31.9402427331298
4,"1993",1824261.01422685,37.4207387533714
4,"1994",2075686.90014377,42.5781928234619
4,"1995",1872000,38.4
4,"1996",2340000,48
4,"1997",2808000,57.6
4,"1998",3276000,67.2
4,"1999",3369600,69.12
4,"2000",3463200,71.04
4,"2001",5512780,119.716
4,"2002",5987020,129.444
4,"2003",6105580,131.876
4,"2004",6224140,134.308
4,"2005",6061900,130.98
4,"2006",6174220,133.284
4,"2007",14240460,312.012
4,"2008",15253570.4732062,332.328870186799
4,"2009",15392769.5295203,335.121870321302
4,"2010",14956500,326.7
4,"2011",15584116.6559939,338.998385886939
4,"2012",15638147.633688,340.120525062373
4,"2013",15665683.78788,340.72457286248
8,"1990",6145514.65635486,159.802463090999
8,"1991",1591306.67928817,38.6818133335968
8,"1992",983294.542907743,23.3833980973053
8,"1993",1052155.78224271,24.7367874392852
8,"1994",1048658.60211691,24.6343521183365
8,"1995",249600,5.12
8,"1996",569400,11.68
8,"1997",344040,9.736
8,"1998",469376,12.736
8,"1999",2359760,63.952
8,"2000",2127496,57.424
8,"2001",3125200.4,73.50728
8,"2002",12116988,302.8536
8,"2003",13583187.6,335.19872
8,"2004",17408290.4,419.62288
8,"2005",13534268,334.1196
8,"2006",16383003.4,383.50314
8,"2007",17438686.9,407.89862
8,"2008",22023405.4022641,506.609853096806
8,"2009",22908800.6058715,531.820398422024
8,"2010",23235144,532.97976
8,"2011",17812270.6458561,408.391198924583
8,"2012",27337362.4236378,614.828877751017
8,"2013",27930304.9609896,633.561801278044
12,"1990",1291628.2824082,27.0104460387974
12,"1991",554846.73628183,11.9648276276869
12,"1992",761738.091534616,15.9067732589153
12,"1993",2172224.32385798,46.297813801243
12,"1994",2983400.01092038,62.904077147347
12,"1995",2498880,52.576
12,"1996",2577936,54.0832
12,"1997",2996512,62.7536
12,"1998",2864952,59.5904
12,"1999",2908080,61.0272
12,"2000",4180624,87.7968
12,"2001",5275387.2,110.90304
12,"2002",6069699.2,127.50624
12,"2003",4979607.2,102.52984
12,"2004",7416132.4,152.52228
12,"2005",4449962,91.6794
12,"2006",3225251.8,67.14338
12,"2007",4296406.4,88.9512
12,"2008",35928850.5570262,796.343177601486
12,"2009",27144977.8223309,613.16659254292
12,"2010",21685689.198,495.74912524
12,"2011",30649160.2671352,648.653771637828
12,"2012",39503175.8422414,833.836045019413
12,"2013",33084005.7931722,699.016086974826
31,"1990",3949581.93986602,81.0170654331491
31,"1991",9552444.59601023,196.648058650669
31,"1992",8646139.34559417,177.401012217316
31,"1993",7208357.26610123,147.908046484128
31,"1994",7111905.19849168,145.92461945624
31,"1995",3185680,65.376
31,"1996",3237360,66.432
31,"1997",3354848,68.8576
31,"1998",2269144,46.5728
31,"1999",871344,19.1808
31,"2000",380800,8.96
31,"2001",474477.6,10.38272
31,"2002",803023.2,16.67904
31,"2003",1454273.6,30.06592
31,"2004",4459248,92.0464
31,"2005",6081710,125.385
31,"2006",7342853,151.42774
31,"2007",10825940,222.768
31,"2008",13251165.0635492,272.584113940781
31,"2009",13421607.6871381,276.120870637355
31,"2010",12888526,265.22388
31,"2011",6934941.6699397,142.939879142623
31,"2012",5039664.99078456,116.231901906013
31,"2013",4877497.07074908,112.039035076668
32,"1990",7563769.04435695,204.953741847092
32,"1991",8640314.76663085,234.124658192578
32,"1992",9696641.64385388,262.839460748163
32,"1993",15491141.1232078,420.085733248108
32,"1994",16431776.3779194,445.861376986882
32,"1995",32963400,893.76
32,"1996",29280840,795.014
32,"1997",27390760,743.924
32,"1998",21743520,589.024
32,"1999",17978308,483.4776
32,"2000",21332015,571.6275
32,"2001",20129860,541.932
32,"2002",19721154.6,529.05306
32,"2003",26201812,704.855
32,"2004",28089828,756.82344
32,"2005",28759028,770.712
