"module","fun","table","measuredElement","measuredItemCPC","variable","measuredElementFS"
"buffalo","energy","production","5111","02112","Stocks","11"
"buffalo","energy","production","5417","21112","Carcass.Wt","41"
"buffalo","energy","production","5320","21112","Slaughtered","31"
"buffalo","energy","production","5510","02212","Milk.Production","51"
"buffalo","energy","production","5318","02212","Milk.Animals","31"
"buffalo","energy","trade","5908","02112","Exports","91"
"buffalo","energy","trade","5608","02112","Imports","61"
"horse","energy","production","5417","21118.01","Carcass.Wt","41"
"horse","protein","production","5417","21118.01","Carcass.Wt","41"
"rabbit","energy","production","5424","21114","Carcass.Wt","41"
"rabbit","protein","production","5424","21114","Carcass.Wt","41"
"camel","energy","production","5417","21117.01","Carcass.Wt","41"
"camel","protein","production","5417","21117.01","Carcass.Wt","41"
"chicken","energy","production","5112","02151","Stocks","11"
"chicken","energy","production","5424","21121","Carcass.Wt","41"
"chicken","energy","production","5424","0231","Yield","41"
"chicken","energy","production","5313","0231","Laying","31"
"chicken","protein","production","5424","21121","Carcass.Wt","41"
"duck","energy","production","5424","21122","Carcass.Wt","41"
"duck","protein","production","5424","21122","Carcass.Wt","41"
"goose","energy","production","5424","21123","Carcass.Wt","41"
"goose","protein","production","5424","21123","Carcass.Wt","41"
"turkey","energy","production","5424","21124","Carcass.Wt","41"
"turkey","protein","production","5424","21124","Carcass.Wt","41"
"pig","energy","production","5417","21113.01","Carcass.Wt","41"
"sheep","energy","production","5111","02122","Stocks","11"
"sheep","energy","production","5417","21115","Carcass.Wt","41"
"sheep","energy","production","5510","02291","Production","51"
"sheep","protein","production","5111","02122","Stocks","11"
"sheep","protein","production","5417","21115","Carcass.Wt","41"
"sheep","protein","production","5510","02291","Production","51"
"sheep","protein","production","5320","21115","Slaughtered","31"
"sheep","protein","trade","5908","02122","Exports","91"
"sheep","protein","trade","5608","02122","Imports","61"
"goat","energy","production","5111","02123","Stocks","11"
"goat","energy","production","5417","21116","Carcass.Wt","41"
"goat","energy","production","5510","02292","Production","51"
"goat","protein","production","5111","02123","Stocks","11"
"goat","protein","production","5417","21116","Carcass.Wt","41"
"goat","protein","production","5510","02292","Production","51"
"goat","protein","production","5320","21116","Slaughtered","31"
"goat","protein","trade","5908","02123","Exports","91"
"goat","protein","trade","5608","02123","Imports","61"
"cattle","energy","production","5111","02111","Stocks","11"
"cattle","energy","production","5417","21111.01","Carcass.Wt","41"
"cattle","energy","production","5510","02211","Production","51"
"cattle","energy","production","5318","02211","Milk.Animals","31"
"cattle","energy","production","5320","21111.01","Slaughtered","31"
"cattle","energy","trade","5908","02111","Exports","91"
"cattle","energy","trade","5608","02111","Imports","61"
