area code,timePointYears,Marine Crustacean,Salmon,Trout,Tilapia,Carp,Catfish,Marine Fish,Freshwater Crustacean,Milkfish
10,2006,2,1.5,1.6,,,,1.3,,
21,2006,1,,,1.7,,,,,
33,2006,,1.3,1.25,,,,,,
40,2006,,1.3,1.4,,,,,,
44,2006,1.6,,1.35,1.6,,,,,
48,2006,1.6,,2,1.85,,,,,
54,2006,,,1,,,,,,
58,2006,1.2,,,2.36,,,,,
59,2006,,,,1.8,1.5,,2,,
68,2006,,,1.1,,2,,1.9,,
79,2006,,,1.2,,,,,,
84,2006,,,1.8,,,,2.2,,
95,2006,1.8,,,2,,,,,
100,2006,1.7,,,,1.7,,,1.5,
101,2006,1.6,,,1.8,,1.2,,,1.8
104,2006,,,1.2,,,,,,
105,2006,,,,1.7,1.7,,1.8,,
106,2006,,,1.1,,,,2.2,,
110,2006,,1.25,,,,,1.5,,
117,2006,1.7,,1.3,,,1.5,2.2,,
129,2006,2.35,,,,,,,,
138,2006,1.9,,1.5,1.8,,,,,
153,2006,2.1,,,,,,,,
159,2006,,,,1.4,,1.2,,,
162,2006,,1.2,1.2,,,,1.3,,
170,2006,1.6,,1.25,,,,,,
171,2006,1.5,,,1.6,,,,,2.2
203,2006,,,1,,,,1.6,,
214,2006,1.6,,,1.8,,,1.5,1.4,2
216,2006,1.5,,,1.5,,1.4,1.8,1.7,
223,2006,,,1,,,,2,,
229,2006,,1.3,1.1,,,,,,
231,2006,2,,1.3,,,2.2,1.6,,
237,2006,1.6,,,,,1.6,,,
