"CPC","item","itemname","ENERGY","PROTEIN","feedClassification","description"
"0111",15,"Wheat",13.8,12.6,"Potential Feed","Wheat"
"0112",56,"Maize",14.3,10.5,"Potential Feed","Maize (corn)"
"0113",27,"Rice, Paddy",13.3,8.3,"Potential Feed","Rice"
"0114",83,"Sorghum",14.3,10.8,"Potential Feed","Sorghum"
"0115",44,"Barley",14,11.8,"Potential Feed","Barley"
"0116",71,"Rye",13.6,10.3,"Potential Feed","Rye"
"0117",75,"Oats",14,11,"Potential Feed","Oats"
"0118",79,"Millet",14.3,12.5,"Potential Feed","Millet"
"01191",97,"Triticale",13.7,11.7,"Potential Feed","Triticale"
"01192",89,"Buckwheat",14.3,10.8,"Potential Feed","Buckwheat"
"01193",94,"Fonio",11.8,8.5,"Potential Feed","Fonio"
"01195",101,"Canary Seed",12.5,10,"Potential Feed","Canary seed"
"01199.02",103,"Mixed Grain",14.3,10,"Potential Feed","Mixed grain"
"01199.90",108,"Cereals nes",14.3,10,"Potential Feed","Other cereals n.e."
"01212",358,"Cabbages",20.5,23.7,"Potential Feed","Cabbages"
"01213",393,"Cauliflower",3.9,16.7,"Potential Feed","Cauliflowers and broccoli"
"01214",372,"Lettuce",20.5,23.7,"Potential Feed","Lettuce and chicory"
"01221",567,"Watermelons",13.8,6.7,"Potential Feed","Watermelons"
"01229",568,"Melons",13.8,6.7,"Potential Feed","Cantaloupes and other melons"
"01232",397,"Cucmbr+Gherk",13.5,14.5,"Potential Feed","Cucumbers and gherkins"
"01234",388,"Tomatoes",3.9,16.7,"Potential Feed","Tomatoes"
"01235",394,"Pumpk+Sq+Grd",13.5,14.5,"Potential Feed","Pumpkins, squash and gourds"
"01239.01",430,"Okra",6.5,14.7,"Potential Feed","Okra"
"01241.90",414,"Beans, Green",13.7,8.2,"Potential Feed","Other beans, green"
"01242",417,"Peas, Green",13.7,8.2,"Potential Feed","Peas, green"
"01243",420,"Brd Bean,Grn",13.7,8.2,"Potential Feed","Broad beans and horse beans, green"
"01251",426,"Carrots",12.2,11.7,"Potential Feed","Carrots and turnips"
"01253.01",402,"Onions,Green",13.5,14.5,"Potential Feed","Onions and shallots, green"
"01253.02",403,"Onions, Dry",13.5,14.5,"Potential Feed","Onions and shallots, dry (excluding dehydrated)"
"01254",407,"Leeks And Ot",13.7,8.2,"Potential Feed","Leeks and other alliaceous vegetables"
"01290.01",446,"Green Corn",12.2,11.7,"Potential Feed","Green corn (maize)"
"01290.90",463,"Vegetables F",12.2,9.5,"Potential Feed","Other vegetables, fresh n.e."
"01311",572,"Avocados",14.2,4.7,"Potential Feed","Avocados"
"01312",486,"Bananas",13,5.2,"Potential Feed","Bananas"
"01313",489,"Plantains",13.3,20.4,"Potential Feed","Plantains and others"
"01314",577,"Dates",14.2,4.7,"Potential Feed","Dates"
"01315",569,"Figs",7.9,11.9,"Potential Feed","Figs"
"01316",571,"Mangoes",14.2,4.7,"Potential Feed","Mangoes, guavas, mangosteens"
"01319",603,"Frt Trop nes",14.2,4.7,"Potential Feed","Other tropical and subtropical fruits, n.e."
"01323",490,"Oranges",13.9,6.8,"Potential Feed","Oranges"
"01341",515,"Apples",13.8,6.7,"Potential Feed","Apples"
"01342.01",521,"Pears",13.8,6.7,"Potential Feed","Pears"
"01343",526,"Apricots",13.8,6.7,"Potential Feed","Apricots"
"01344.01",530,"Sour Cherry",13.8,6.7,"Potential Feed","Sour cherries"
"01344.02",531,"Cherries",13.8,6.7,"Potential Feed","Cherries"
"01345",534,"Peaches",13.8,6.7,"Potential Feed","Peaches and nectarines"
"01346",536,"Plums",13.8,6.7,"Potential Feed","Plums and sloes"
"01356",461,"Carobs",12.2,9.5,"Potential Feed","Locust beans (carobs)"
