figisSpecies,aquaSpecies
Cyprinids nei,Carp
Crucian carp,Carp
Grass carp(=White amur),Carp
Silver carp,Carp
Common carp,Carp
Bighead carp,Carp
Mrigal carp,Carp
"Silver, bighead carps nei",Carp
Black carp,Carp
Hoven's carp,Carp
Nilem carp,Carp
Mud carp,Carp
Small scale mud carp,Carp
Thai mahseer,Carp
Catfishes nei,Catfish
Channel catfish,Catfish
Chinese longsnout catfish,Catfish
Catla,Catla
Freshwater crustaceans,Freshwater Crustacean
"Crabs, sea-spiders",Marine Crustaceans
"Shrimps, prawns",Marine Crustaceans
Miscellaneous marine crustaceans,Marine Crustaceans
"Lobsters, spiny-rock lobsters",Marine Crustaceans
Milkfish,Milkfish
Miscellaneous freshwater fishes,Miscellaneous Freshwater Fish
Roaches nei,Miscellaneous Freshwater Fish
Wuchang bream,Miscellaneous Freshwater Fish
River eels,Miscellaneous Freshwater Fish
"Sturgeons, paddlefishes",Miscellaneous Freshwater Fish
Miscellaneous diadromous fishes,Miscellaneous Freshwater Fish
Tench,Miscellaneous Freshwater Fish
Kutum,Miscellaneous Freshwater Fish
Freshwater bream,Miscellaneous Freshwater Fish
..A,Miscellaneous Freshwater Fish
Silver barb,Miscellaneous Freshwater Fish
Orangefin labeo,Miscellaneous Freshwater Fish
Asian barbs nei,Miscellaneous Freshwater Fish
Bleak,Miscellaneous Freshwater Fish
Buffalofishes nei,Miscellaneous Freshwater Fish
Chub,Miscellaneous Freshwater Fish
Goldfish,Miscellaneous Freshwater Fish
Vimba bream,Miscellaneous Freshwater Fish
Rudd,Miscellaneous Freshwater Fish
Barbel,Miscellaneous Freshwater Fish
Danube bleak,Miscellaneous Freshwater Fish
Common nase,Miscellaneous Freshwater Fish
Roach,Miscellaneous Freshwater Fish
Shads,Miscellaneous Freshwater Fish
Asp,Miscellaneous Freshwater Fish
Orfe(=Ide),Miscellaneous Freshwater Fish
Rhinofishes nei,Miscellaneous Freshwater Fish
Algerian barb,Miscellaneous Freshwater Fish
Ripon barbel,Miscellaneous Freshwater Fish
Ningu,Miscellaneous Freshwater Fish
Freshwater breams nei,Miscellaneous Freshwater Fish
Sichel,Miscellaneous Freshwater Fish
White bream,Miscellaneous Freshwater Fish
Pond loach,Miscellaneous Freshwater Fish
Isok barb,Miscellaneous Freshwater Fish
Chubs nei,Miscellaneous Freshwater Fish
Ayu sweetfish,Miscellaneous Freshwater Fish
European whitefish,Miscellaneous Freshwater Fish
Olive barb,Miscellaneous Freshwater Fish
Peled,Miscellaneous Freshwater Fish
Pond smelt,Miscellaneous Freshwater Fish
Tinfoil barb,Miscellaneous Freshwater Fish
Vatani rohtee,Miscellaneous Freshwater Fish
Whitefishes nei,Miscellaneous Freshwater Fish
Demersal Marine Fish Frsh,Miscellaneous Marine Fish
Marine Fish Nes Fresh,Miscellaneous Marine Fish
Miscellaneous diadromous fishes,Miscellaneous Marine Fish
River eels,Miscellaneous Marine Fish
Miscellaneous freshwater fishes,Miscellaneous Marine Fish
Shads,Miscellaneous Marine Fish
"Sturgeons, paddlefishes",Miscellaneous Marine Fish
Clearhead icefish,Miscellaneous Marine Fish
Grayling,Miscellaneous Marine Fish
Marine fishes,Miscellaneous Marine Fish
Roho labeo,Rohu
Atlantic salmon,Salmon
Chinook(=Spring=King) salmon,Salmon
Salmonoids nei,Salmon
Coho(=Silver) salmon,Salmon
Salmonids nei,Salmon
Masu(=Cherry) salmon,Salmon
Chum(=Keta=Dog) salmon,Salmon
Arctic char,Salmon
Chars nei,Salmon
Huchen,Salmon
Tilapias and other cichlids,Tilapia
Rainbow trout,Trout
Trouts nei,Trout
Sea trout,Trout
Golden trout,Trout
Brook trout,Trout
Sevan trout,Trout
